movie,director,relation
权力的游戏 第八季 Game of Thrones Season 8,戴维·贝尼奥夫,DirectBy
权力的游戏 第八季 Game of Thrones Season 8,D·B·威斯,DirectBy
奇幻森林 The Jungle Book,乔恩·费儒,DirectBy
荒野生存 Into the Wild,西恩·潘,DirectBy
流浪猫鲍勃 A Street Cat Named Bob,罗杰·斯波蒂斯伍德,DirectBy
美国往事 Once Upon a Time in America,赛尔乔·莱昂内,DirectBy
战争之王 Lord of War,安德鲁·尼科尔,DirectBy
步履不停 歩いても 歩いても,是枝裕和,DirectBy
至爱梵高·星空之谜 Loving Vincent,多洛塔·科别拉,DirectBy
至爱梵高·星空之谜 Loving Vincent,休·韦尔什曼,DirectBy
万物理论 The Theory of Everything,詹姆斯·马什,DirectBy
厕所英雄 Toilet - Ek Prem Katha,什里·那拉扬·辛,DirectBy
蓝宇 藍宇,关锦鹏,DirectBy
遗愿清单 The Bucket List,罗伯·莱纳,DirectBy
佩小姐的奇幻城堡 Miss Peregrine's Home for Peculiar Children,蒂姆·波顿,DirectBy
聚焦 Spotlight,汤姆·麦卡锡,DirectBy
后宫·甄嬛传,郑晓龙,DirectBy
声之形 聲の形,山田尚子,DirectBy
天才少女 Gifted,马克·韦布,DirectBy
叶问3,叶伟信,DirectBy
山河故人,贾樟柯,DirectBy
陪安东尼度过漫长岁月,秦小珍,DirectBy
铁甲钢拳 Real Steel,肖恩·利维,DirectBy
投名状,陈可辛,DirectBy
胭脂扣,关锦鹏,DirectBy
暮光之城4：破晓(下) The Twilight Saga: Breaking Dawn - Part 2,比尔·康顿,DirectBy
赤壁(上),吴宇森,DirectBy
少年班,肖洋,DirectBy
朗读者 The Reader,史蒂芬·戴德利,DirectBy
珍珠港 Pearl Harbor,迈克尔·贝,DirectBy
寄生兽 寄生獣,山崎贵,DirectBy
黄飞鸿 黃飛鴻,徐克,DirectBy
狼图腾,让-雅克·阿诺,DirectBy
一九四二,冯小刚,DirectBy
破风 破風,林超贤,DirectBy
千钧一发 Gattaca,安德鲁·尼科尔,DirectBy
李米的猜想,曹保平,DirectBy
奎迪：英雄再起 Creed II,小斯蒂芬·卡普尔,DirectBy
和莎莫的500天 (500) Days of Summer,马克·韦布,DirectBy
喜宴 囍宴,李安,DirectBy
红高粱,张艺谋,DirectBy
美国丽人 American Beauty,萨姆·门德斯,DirectBy
杀破狼 殺破狼,叶伟信,DirectBy
去他*的世界 第一季 The End of the F***ing World Season 1,乔纳森·恩特威斯尔,DirectBy
去他*的世界 第一季 The End of the F***ing World Season 1,露西·彻尼亚克,DirectBy
老男孩猛龙过江,肖央,DirectBy
最好的我们,刘畅,DirectBy
猜火车 Trainspotting,丹尼·博伊尔,DirectBy
海蒂和爷爷 Heidi,阿兰·葛斯彭纳,DirectBy
发条橙 A Clockwork Orange,斯坦利·库布里克,DirectBy
独孤皇后,张孝正,DirectBy
权力的游戏 第一季 Game of Thrones Season 1,蒂莫西·范·帕腾,DirectBy
权力的游戏 第一季 Game of Thrones Season 1,布莱恩·柯克,DirectBy
权力的游戏 第一季 Game of Thrones Season 1,丹尼尔·米纳汉,DirectBy
权力的游戏 第一季 Game of Thrones Season 1,阿兰·泰勒,DirectBy
画壁,陈嘉上,DirectBy
人民的名义,李路,DirectBy
桃姐,许鞍华,DirectBy
十月围城,陈德森,DirectBy
杀生,管虎,DirectBy
路边野餐,毕赣,DirectBy
人鬼情未了 Ghost,杰瑞·扎克,DirectBy
小姐 아가씨,朴赞郁,DirectBy
听说 聽說,郑芬芬,DirectBy
赤壁(下),吴宇森,DirectBy
此房是我造 The House That Jack Built,拉斯·冯·提尔,DirectBy
城市之光 City Lights,查理·卓别林,DirectBy
太阳的后裔 태양의 후예,李应福,DirectBy
穆赫兰道 Mulholland Dr.,大卫·林奇,DirectBy
新世界 신세계,朴勋政,DirectBy
昼颜 昼顔,西谷弘,DirectBy
手机,冯小刚,DirectBy
鬼吹灯之精绝古城,孔笙,DirectBy
鬼吹灯之精绝古城,周游,DirectBy
鬼吹灯之精绝古城,孙墨龙,DirectBy
黄金时代,许鞍华,DirectBy
黑镜：潘达斯奈基 Black Mirror: Bandersnatch,大卫·斯雷德,DirectBy
京城81号,叶伟民,DirectBy
古董局中局,五百,DirectBy
古董局中局,余庆,DirectBy
扫毒 掃毒,陈木胜,DirectBy
一次别离 جدایی نادر از سیمین,阿斯哈·法哈蒂,DirectBy
可可西里,陆川,DirectBy
萨利机长 Sully,克林特·伊斯特伍德,DirectBy
一一,杨德昌,DirectBy
绿巨人浩克 Hulk,李安,DirectBy
门徒 門徒,尔冬升,DirectBy
步步惊心,李国立,DirectBy
歌舞青春 High School Musical,肯尼·奥特加,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,D·B·威斯,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,艾利克斯·格雷夫斯,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,米歇尔·麦克拉伦,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,埃里克·萨哈罗夫,DirectBy
权力的游戏 第四季 Game of Thrones Season 4,尼尔·马歇尔,DirectBy
大红灯笼高高挂,张艺谋,DirectBy
激战 激戰,林超贤,DirectBy
悲惨世界 Les Misérables,汤姆·森兰,DirectBy
非常嫌疑犯 The Usual Suspects,布莱恩·辛格,DirectBy
我脑中的橡皮擦 내 머리 속의 지우개,李宰汉,DirectBy
浪潮 Die Welle,丹尼斯·甘塞尔,DirectBy
百万美元宝贝 Million Dollar Baby,克林特·伊斯特伍德,DirectBy
刺客聂隐娘,侯孝贤,DirectBy
龙虾 The Lobster,欧格斯·兰斯莫斯,DirectBy
女孩 Girl,卢卡斯·德霍特,DirectBy
英国病人 The English Patient,安东尼·明格拉,DirectBy
Hello！树先生,韩杰,DirectBy
卡罗尔 Carol,托德·海因斯,DirectBy
悲惨世界 Les Misérables,汤姆·霍珀,DirectBy
调音师 L'accordeur,奥利维耶·特雷内,DirectBy
无极,陈凯歌,DirectBy
月光男孩 Moonlight,巴里·詹金斯,DirectBy
狂怒 Fury,大卫·阿耶,DirectBy
一个勺子,陈建斌,DirectBy
胜者即是正义 リーガル・ハイ,石川淳一,DirectBy
胜者即是正义 リーガル・ハイ,城宝秀则,DirectBy
老无所依 No Country for Old Men,伊桑·科恩,DirectBy
老无所依 No Country for Old Men,乔尔·科恩,DirectBy
"纳尼亚传奇1：狮子、女巫和魔衣橱 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",安德鲁·亚当森,DirectBy
隧道 터널,金成勋,DirectBy
蒂凡尼的早餐 Breakfast at Tiffany's,布莱克·爱德华兹,DirectBy
神探夏洛克 第四季 Sherlock Season 4,瑞秋·塔拉蕾,DirectBy
神探夏洛克 第四季 Sherlock Season 4,尼克·赫伦,DirectBy
神探夏洛克 第四季 Sherlock Season 4,本·卡隆,DirectBy
我是山姆 I Am Sam,杰茜·尼尔森,DirectBy
鸟人 Birdman or (The Unexpected Virtue of Ignorance),亚利桑德罗·冈萨雷斯·伊纳里图,DirectBy
登月第一人 First Man,达米恩·查泽雷,DirectBy
警察故事2013,丁晟,DirectBy
牯岭街少年杀人事件 牯嶺街少年殺人事件,杨德昌,DirectBy
情人 L'amant,让-雅克·阿诺,DirectBy
为奴十二年 12 Years a Slave,史蒂夫·麦奎因,DirectBy
革命之路 Revolutionary Road,萨姆·门德斯,DirectBy
宫锁沉香,潘安子,DirectBy
七武士 七人の侍,黑泽明,DirectBy
欢乐颂,孔笙,DirectBy
欢乐颂,简川訸,DirectBy
深夜食堂2 続・深夜食堂,松冈锭司,DirectBy
黄飞鸿之英雄有梦,周显扬,DirectBy
蓝色大门 藍色大門,易智言,DirectBy
BJ单身日记 Bridget Jones's Diary,莎伦·马奎尔,DirectBy
权力的游戏  第二季 Game of Thrones Season 2,阿兰·泰勒,DirectBy
